2 0.140625 0.294304 0.20625 0.43038 
3 0.208333 0.294304 0.274479 0.431435 
4 0.277083 0.294304 0.340625 0.431435 
5 0.343229 0.294304 0.408333 0.431435 
6 0.410937 0.294304 0.476562 0.43038 
7 0.479688 0.294304 0.544792 0.431435 
8 0.547917 0.294304 0.613021 0.431435 
9 0.616146 0.294304 0.679167 0.431435 
0 0.681771 0.294304 0.747396 0.431435 
a 0.141146 0.578059 0.20625 0.71097 
b 0.456771 0.71519 0.522396 0.852321 
c 0.322917 0.71519 0.385938 0.852321 
d 0.277083 0.578059 0.340625 0.709916 
e 0.254687 0.435654 0.320312 0.572785 
f 0.343229 0.578059 0.408333 0.709916 
g 0.411458 0.577004 0.476562 0.709916 
h 0.479688 0.578059 0.544792 0.71097 
i 0.593229 0.435654 0.658333 0.57384 
j 0.547917 0.578059 0.613021 0.709916 
k 0.616146 0.578059 0.679167 0.71097 
l 0.593229 0.578059 0.747396 0.71519 
m 0.525 0.71519 0.658854 0.853376 
n 0.590625 0.435654 0.661458 0.853376 
o 0.724479 0.435654 0.726562 0.572785 
p 0.118229 0.435654 0.792708 0.572785 
q 0.183333 0.435654 0.322917 0.572785 
r 0.208333 0.57384 0.385938 0.578059 
s 0.274479 0.71097 0.274479 0.71097 
t 0.454167 0.435654 0.525 0.57384 
u 0.388021 0.57384 0.590104 0.71308 
v 0.186458 0.435654 0.454167 0.853376 
w 0.251042 0.57384 0.254687 0.71519 
x 0.319792 0.435654 0.456771 0.852321 
y 0.186458 0.572785 0.522396 0.71519 
z 0.0046875 0.435654 0.251563 0.853376 
space 0.231771 0.857595 0.625 0.995781 
enter 0.886458 0.578059 0.996875 0.71097 
tab 0.00416667 0.435654 0.115625 0.57384 
